,Job_Role,Company,Location,Job Experience,Skills,Job_Description
0,Hadoop Developer,Capgemini,"Hyderabad/Secunderabad, Pune, Chennai",4-9,"GIT, Sqoop, Hadoop, SCALA, SQL, Jenkins, Hive, Agile Methodologies",". To develop an application by using Hadoop tech stack and delivered effectively, effic..."
1,Hadoop Developer,Ness,Hybrid - Bangalore/Bengaluru,3-7,"Hadoop, pyspark, Hive, spark, kafka, hadoop development, sqoop, Apache Nifi",Roles & ResponsibilityDesign and build code across several new and existing software pr...
2,Hadoop Developer (Hadoop + GCP) / (AWS+SQL),D-TechWorks Pvt Ltd,"Noida, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR",6-8,"Hadoop, Azure, GCP, Data Analysis, cloud hosting, Spark, AWS, SQL",6+ Years of Industry Work ExperienceProfessional experience with a cloud hosting platfo...
3,Hadoop Developer,Wipro,"Hybrid - Pune, Chennai, Bangalore/Bengaluru",6-11,"cloud, python, airflow, data warehousing, hadoop, sql, Hadoop Development, Data","6 years of experience in Data, BI or Platform Engineering, Data Warehousing / ETL, or S..."
4,Hadoop Developer,Athena Consultancy Services,"Chennai, Bangalore/Bengaluru",4-9,"Hadoop Developer, spark, Github, SCALA, Hadoop Development, Putty, Teradata, Development","Must have working experience in IntelliJ IDEA, AutoSys, WinSCP, Putty & GitHubGood to h..."
5,Data Engineer - Hadoop Developers,Andor Tech,Bangalore/Bengaluru,5-8,"Microstrategy, Db2, RDBMS, Hadoop, Agile, Developer, Oracle, Teradata",knows software architecture and readily applies this to Data or Platform solutions Auto...
6,Hadoop Developer,Ivy Tech Solutions,Remote,6-12,"Usage, spark, SCALA, Hadoop, Programming, hdfs, Data quality, sqoop","6 years of experience as a hands-on lead Hadoop developer, specifically Cloudera . Prov..."
7,Hadoop Developer,Diverse Lynx,"Mumbai, Hyderabad, Chennai, Bengaluru",2-7,"hive, Performance tuning, Project development, Software design, spark, UDF, Debugging, Software development life cycle",. . . . . . . . . Good understanding of Hadoop concepts including file system and Map R...
8,Hadoop Developer,Sightspectrum,"Kochi/Cochin, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Trivandrum/Thiruvananthapuram",4-8,"Procurement, Hadoop, Agile, Scheduling, Unix scripting, sqoop, Analytics, Python",Brief Job Description Willingness to learn additional technologies as this project requ...
9,Hadoop Developer / Admin And Support,Anicalls,Hyderabad/Secunderabad,5-8,"Solution architecture, hive, Administration, data manipulation, Hadoop, Reconciliation, Programming, Data quality",Expert level programming skills using Hadoop to meet the challenges of advanced data ma...
