,Job_Role,Company,Location,Job Experience,Skills,Job_Description
0,Big Data Engineer (Spark & Scala),Mphasis,"Hybrid - Hyderabad/ Secunderabad, Telangana",5-8,"SCALA, Big Data, Spark, hive, restful, java, Hadoop, Restful Web Api Development",Who are we looking for?Looking for Big data EngineerTechnical Skills:• 5+ years of expe...
1,Big Data Lead,Persistent,"Indore, Madhya Pradesh, Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Ahmedabad, Gujarat, Jaipur, Rajasthan, Bangalore/ Bengaluru, Karnataka",7-11,"Java, Hadoop, Big Data, Hive, Big Data processing, cluster management, NoSQL databases, Hadoop ecosystem framework","Apache Spark or other streaming Big Data processing, preferred Deliver good solutions a..."
2,Big Data Engineer,IBM,Gurgaon/Gurugram,5-8,"Data Engineering, Data modeling, Big Data, Data structures, SQL, Project development, Hive, Sqoop",Required Technical and Professional Expertise. First and most important - Sound underst...
3,Big Data Consultant,Sopra Steria,"Noida, Uttar Pradesh, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka",4-9,"spark, Cloudera, Hadoop, hive, scala, airflow, big data, cloudera hadoop",Candiate Profile: . Proficient in any two programming languages to build data pipeline ...
4,Big Data Developer - Hadoop / Spark / Hive,TrueView HR Consulting Pvt. Ltd,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-10,"Big Data, Pyspark, Hive, Data Engineering, Hadoop, Kafka, Azure Databricks, Spark",Experience Mentoring students is desirable. - Knowledge of latest developments in Machi...
5,Big Data Developer,Persistent,"Indore, Madhya Pradesh, Hyderabad/Secunderabad, Pune, Maharashtra, Ahmedabad, Jaipur, Rajasthan, Bangalore/Bengaluru",3-5,"big data, python, java, performance tuning, scala, agile, Spark, sdlc",Women candidates preferred Experience developing code on distributed databases using Sp...
6,Big Data Architect,Persistent,"Indore, Madhya Pradesh, Hyderabad/Secunderabad, Pune, Maharashtra, Ahmedabad, Gujarat, Jaipur, Rajasthan, Bangalore/Bengaluru",12-15,"Big Data, Design patterns, Hadoop, Kafka, Spring, Looker, design pattern, SQL","Women candidates preferred Building, monitoring, and optimizing reliable and cost-effic..."
7,Hiring For Big Data Developer/ Lead (Spark & Scala with AWS) | Coforge,Coforge,"Hybrid - Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Bangalore/Bengaluru, Greater Noida",4-9,"SCALA, Spark, AWS, Azure Data Factory, Hive, Hadoop, Big Data, Leadership",Experience Required: - 4 to 12 Years
8,Big Data Developers/Leads,GSPANN,"Hybrid - Hyderabad/Secunderabad, Pune, INDIA",4-9,"Pyspark, Spark, Python, Hive, Map Reduce, Hadoop, Cloud, BigData",Hands-on experience of API development (from application / software engineering perspec...
9,Big Data Engineer - Hadoop/Data Warehousing,Megma Services,Thane,2-6,"Big Data, ETL Tools, Shell Scripting, Hadoop, SQL coding, HBase, Hive, Linux",Work on shift for system monitoring and incident management.
10,We are hiring Big Data Engineer - Python with Azure,Epam Systems,"Hybrid - Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Bangalore/ Bengaluru, Karnataka",5-10,"azure databricks, big data, Python, Azure Data Factory, Azure Synapse, data, microsoft azure, Azure Data Lake",Immediate joiners are preferred : . 4+ Years of in Big Data & Data related technology e...
11,Big Data/Hadoop Architect - HBase/Hive,Vision Excel Career Solutions,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",10-16,"Hadoop Ecosystem, RESTful API, Data Ingestion, Scala, Hadoop, Big Data, Kafka, Machine Learning",Type : Full Time. Implement data analytics solutions on big data batch and stream proce...
12,EY India is hiring For Big Data Developer-Immediate,EY,Hybrid - Bangalore/Bengaluru,4-6,"scala, spark, Database, Hdfs, big data, sybase, DB2, relational db",Experience with Scala-Spark Big Data development . Strong Database experience preferabl...
13,We are hiring Big Data Engineer - SQL + Spark + Python,Epam Systems,"Hybrid - Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Bangalore/ Bengaluru, Karnataka",5-10,"python, spark, sql, Hive, Hadoop, pyspark, big data, etl",Greetings from EPAM!Hope you are doing good!EPAM has presence across 40+ countries glob...
14,We are hiring Big Data Engineer - Java + Spark - Bangalore,Epam Systems,"Hybrid - Bangalore/ Bengaluru, Karnataka",5-10,"java, spark, sql, Hive, data engineer, Hadoop, big data, Data Engineering",Immediate joiners are preferred : . 4 years of industry experience in relevant areasExp...
15,Big Data Solutions Engineer,Tookitaki,Bangalore/Bengaluru,4-7,"NoSQL, Analytical, Artificial Intelligence, Machine learning, SCALA, data privacy, data visualization, Analytics","Bachelor s degree in computer science, Engineering, or related field . 4+ years of expe..."
16,Big Data Engineer,BDB.AI,"Hyderabad/Secunderabad, Bangalore/Bengaluru",5-10,"Data Science, Hive, Scala, Hadoop, Big Data Engineer, Data Analysis, Data Mining, Spark","Education, Experience, Skills and Abilities Required for Consideration as a Candidate ...."
17,Big Data Engineer,IBM,Kolkata,6-8,"Big Data, SQL, Business objects, Python, BI dashboards, Docker Cloud, BigQuery, Cloud SQL","Your Role and ResponsibilitiesLooker, Databases, SQL Core Skills Looker and Data Studio..."
18,Big Data Engineer,IBM,Mumbai,6-10,"Scala, SQL, ADLS, Databricks, Python, Airflow, Data Engineering, Luigi","Required Technical and Professional Expertise. Graduate degree in Computer Science, Sta..."
19,Big Data Engineer,IBM,Mumbai,6-10,"Azure, Data Engineering, Hadoop, ADLS, Azure data factory, Azure data lake store, Kafka, SQL DB","Required Technical and Professional Expertise. Graduate degree in Computer Science, Sta..."
20,Big Data Engineer,IBM,Mumbai,6-11,"Big Data, ARM Templates, Data Engineering, Analysis Services, Serverless Architecture, Cosmos, ADLS, spark","Required Technical and Professional Expertise. Graduate degree in Computer Science, Sta..."
