,Job_Role,Company,Location,Job Experience,Skills,Job_Description
0,Merilytics - Business Analyst (Analytics),Merilytics,Hyderabad/Secunderabad,0-2,"excel, Business Analytics, Problem Solving, Data Analysis, Python, Power Bi, Advanced Excel, Tableau",(v) Cab reimbursement for women employees beyond a certain time of the day. . (vi) Robu...
1,Stars Business Analyst,Ford,Chennai,0-5,"Training, Application support, Business Analyst, Instructional design, Project management, Design development, Powerpoint, Sharepoint",Coordinate and / or deliver training to customers as required . Experience in learning ...
2,Business Analyst,Isoftstone,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",0-5,"Automation, digital content, Business Analyst, Technology consulting, Technical design, Analytical, Manager Technology, SDK","A Bachelors or Masters in Computer Science or Engineering, or equivalent technical expe..."
3,Business Analyst,NCR Corporation,Hyderabad/Secunderabad,5-10,"Telecom, Hospitality, Business Analyst, Agile scrum, Functional testing, Manager Technology, Agile methodology, Recruitment","Along with the BA role, candidate should be able to handle scrum master responsibilitie..."
4,Business Analyst,Regalix,Remote,1-4,"Business Analytics, SQL, Business Analysis, Power Bi, SQL Queries, Tableau, Dashboards, Salesforce CRM",Location: Bangalore/ Hyderabad ( Work From Home) . Shift Timing: US Shift ( 7pm to 4am ...
5,Business Analyst,In2IT Technologies,"Noida, Uttar Pradesh(Noida Extension)",0-1,"Business Analytics, analytical, Requirement Gathering, business analysis, Statistics, Requirements, Analysis, Analytics","Bachelors degree in Computer Science, Information Technology, Business Administration, ..."
6,Job Opportunity For Guidewire Business Analyst,PwC Service Delivery Center,"Hybrid - Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)",3-5,"Policy Administration, Casualty, Property, Business analysis, Administration, Guidewire",HiWe have an opportunity for Guidewire Business Analyst.Exp - 3 to 5 yearsLocation -Ban...
7,Guidewire Business Analyst,PwC Service Delivery Center,"Hybrid - Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)",5-9,"Guidewire, Forms, Integration, Billing Center, Policy Center, Rating, business analysis, Forming",Roles and Responsibilities of Business Analyst/Business System Analyst • Conducting Gap...
8,Opening For Business Analyst Mumbai (Thane) Location,Experis,Mumbai (All Areas),4-8,"business analysis, vendor management, Life Insurance Analyst, INGENIUM, Business Analyst, Business Analytics, AIII, invoice processing","Dear Candidates , We are hiring for Mumbai location , Job title : Business Analyst Expe..."
9,Business Analyst,Turing,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",2-3,"Product training, Automation, Usage, Business Analyst, Machine learning, Agile, power bi, QlikView",Use data and analysis to support arguments for solutions for particular problems assign...
10,Business Analyst,Flipkart,"Bangalore/Bengaluru, Karnataka",2-5,"PowerBI, Qlikview, Tableau, Datastudio, data analytics, Business Analytics, BI, business analysis","Gather data required to conduct business analysis, build reports, dashboards and metric..."
11,Business Analyst Manager,Knoah Solutions Pvt Ltd,Hyderabad/Secunderabad,1-6,"Manager Quality Assurance, Business Analyst, Compliance, Project management, Artificial Intelligence, Workflow, Data quality, Operations",Perform deep-dive based on data and interview with relevant stakeholders . Post-seconda...
12,Business Analyst,Tamcherry Technologies,"Kochi/ Cochin, Kerala, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka",3-7,"b2b, Business Analytics, Documentation, communication skills, Analytics, Business analysis",Requirements Gathering: Ability to effectively gather and document business requirement...
13,Business Analyst,HyrEzy Talent Solution,Bangalore/Bengaluru,2-4,"Business Analysis, Business Analyst, Business Analytics, financial modelling, Market Analytics, competitive analysis, Marketing analytics, Marketing","Should be open to working with teams in India, Singapore, Sydney"
14,Duck Creek Claims Business Analyst,Aggne Global It Services,"Hyderabad/ Secunderabad, Telangana",5-10,"Claims, Duck Creek, Business Analysis, Analysis",Personal or Commercial Lines Property & Casualty insurance experience and Duck Creek ex...
15,Duck Creek Policy Business Analyst,Aggne Global It Services,"Hyderabad/ Secunderabad, Telangana",6-11,"Property And Casualty Insurance, Policy Center, Duck Creek, Business Analysis, Pc Insurance, PC, Property, Casualty",Position : Duck Creek Policy Business AnalystExperience: 5+ years Job Description: We a...
16,BUSINESS ANALYST,Rigkno,Hyderabad/Secunderabad,2-3,"Web technologies, Business Analyst, JSP, Software Professional, Programming, ASP.Net, Business analysis, Software",Skills Develop and maintain framework to create web applications. Perform systems analy...
17,Business Analyst,Our Ncr,Hyderabad/Secunderabad,5-8,"Computer science, Telecom, Hospitality, Business Analyst, Agile scrum, Functional testing, Manager Technology, Agile methodology","Mandatory : Along with the BA role, candidate should be able to handle scrum master res..."
18,Business Analyst,DMart,Mumbai (All Areas),8-13,"Business Analysis, Business Analytics, business continuity management, Data Analysis, MIS Reporting, reporting, Analysis, Analytics",Details are as follows: -Job Location : MumbaiCompany Name : Avenue Supermarts LimitedP...
