,Job_Role,Company,Location,Job Experience,Skills,Job_Description
0,Manager \/ Data Engineer-Data Architect,Benovymed Healthcare,New Delhi,3-15,"Mining, C++, Data analysis, Data management, Pharma, MySQL, Healthcare, Perl","- The ultimate aim is to provide clean, usable data to whoever may require it. Technica..."
1,Data Engineer,Sisoft Technologies,Ghaziabad,2-7,"Java, Hibernate, Scala, Data Structures, Big Data, Spring Boot, Aws, Spring Security",Experience building or maintaining ETL processes from a wide variety of data sources us...
2,Data Engineer,searce,Mumbai,1-2,"Hive, Scala, Hadoop, Big Data, Data Engineer, Spark, Python",Data Engineer identifies the business problem and translates these to data services and...
3,HP Data Engineer,Diverse Lynx,Gurgaon,2-6,"IT Skills, Python, Big Data, Data management, Production support, Database design, SCALA, Design development",7 years of recent experience in data engineering. A solid track record of data manageme...
4,Data engineer,Diverse Lynx,Chennai,1-5,"IT Skills, Software Development, DevOps, SIDE, Coding, Network operations, Automation tools, Software development life cycle",DevOps Engineer is someone who has an understanding of the Software Development Lifecyc...
5,NAB Transition_Sr./Jr/ Data Engineer,Diverse Lynx,Gurgaon/Gurugram,2-6,"Agile scrum, Transition, AWS",Agile / Scrum - Must have worked in Agile - Scrum environment
6,Azure Data Engg,Diverse Lynx,Kolkata,4-6,"IT Skills, Python, Azure, Unix, hive, spark, microsoft azure, Azure Data Factory","Azure Data Engg Azure Databricks, Azure Data Factory, Hive, Spark and Python Unix, Pysp..."
7,Data Engineer,Diverse Lynx,Gurgaon,2-6,"hive, spark, SCALA, data governance, Data processing, PLSQL, Scheduling, Informatica",Minimum 5 years of Big Data experience in Big data ecosystem Ingest: Informatica (Power...
8,Data Engineer,Diverse Lynx,Gurgaon/Gurugram,1-5,"Unix, hive, Linux, spark, Shell scripting, Debugging, Hadoop, YARN","Must Have : Spark with underlying technology Python and ""Hadoop ecosystem, architecture..."
9,Data Engineer,Diverse Lynx,Chennai,1-5,"Data analysis, Data modeling, PAAS, AWS, SQL, Python, data profiling, Scripting","JD: Should have: SQL Hands on Experience using AWS core services: EC2, S3, VPC, ELB, la..."
10,Data Engineer-Architect/Data Modeler,TRH Consultancy Services,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",8-13,"T-SQL, Azure Data Factory, Azure SQL, Cosmos, Azure Data Flow, Data Architect, Microsoft Azure, ADF","Must possess expert T-SQL programming, performance tuning and troubleshooting skills5+ ..."
11,"Data Engineer (Spark, Scala)",Teamlease Digital,"Bhubaneswar, Odisha, Kolkata, Hyderabad/ Secunderabad, Telangana, Pune, Ahmedabad, Chennai, Bangalore/ Bengaluru, Karnataka, Delhi / NCR, Mumbai (All Areas)",2-5,"spark, scala, Streaming, spark streaming, data, kafka, datalake implementation, data engineering","Preferred candidate profile . Kafka expertise. . Any experience with MFG BI, DWH and Da..."
12,Data Engineer,Cognizant,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-8,"Hive, data modeling, Hadoop, HBase, etl tool, oracle database, relational databases, sql",JOB DESCRIPTION:-4+ years of experience in building scalable and reliable data pipeline...
13,T SQL SSIS Data Engineer,Wipro,"Hybrid - Kochi/ Cochin, Kerala, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)",5-10,"SSIS, TSQL, Azure Data Factory, Legacy, Tfs / Github, Informatica, ETL, T-SQL","Experience in working with large, complex data sets"
14,Data Engineer,Accolite Software India Pvt Ltd,"Hyderabad/Secunderabad, Bangalore/Bengaluru",3-4,"Usage, Conceptualization, Infrastructure, Apache, big data, Testing, data engineering, data","Experience with Azure ADLS, Apache Parquet, Iceberg, Kubeflow and Airflow"
15,Jobs on Data Engineer,Essenware Private Limted,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-6,"Payroll, data governance, PLSQL, Data quality, Informatica, Open source, Data warehousing, ETL tool",". Work Location . - Preferred location is Bangalore, but any other location is also fin..."
16,Data bricks Engineer & Data bricks Architect,Sdna Global,"Hyderabad/Secunderabad, Pune, Maharashtra, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR",5-10,"data bricks, spark programming, spark core, spark streaming, data management, Rdd, data migration, agile",Data bricks Engineer: 1. Hands on experience designing and delivering solutions using t...
17,Data Engineer,Hitachi Ltd.,Hyderabad/Secunderabad,5-8,"Architecture, Lead, Packaging, PLSQL, Healthcare, Stored procedures, Japanese, AWS","AWS Data Engineer - Mid 5-8 Years strong experience in PL / SQL Stored Procedures, Data..."
