,Job_Role,Company,Location,Job Experience,Skills,Job_Description
0,Data Science Specialist,Accenture,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",2-4,"Product management, Change management, Consulting, Machine learning, Python, Business process, Artificial Intelligence, Natural language processing",Must Have Knowledge of statistical techniques and machine learning algorithms Hands-on ...
1,Analystics & Modeling Specialist,Accenture,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",6-8,"Bfsi, Consulting, Machine learning, Open source, Python, Business process, Market research, Outsourcing",This role will be a part of Survey Solutions and Analytics team. The Analytics and Mode...
2,ACN - Applied Intelligence - Finance - Data Science - 09,Accenture,"Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",2-7,"Data Science, Applied Intelligence, Data processing, Analytics, Python, Elasticsearch, Scala, Hadoop","Quantexa Certification /Quantexa Experience (Mandatory)Proven big data experience, eith..."
3,Sr Data Scientist,Blue Yonder,"Hyderabad/Secunderabad, Bangalore/Bengaluru",3-8,"Supply chain, Automation, GIT, NoSQL, RDBMS, Architectural design, Cloud, application architecture",Bachelor s degree (STEM preferred) and minimum 4-8 years of experience in Software deve...
4,Director/Senior Director - Data Science,Axtria India,"Noida, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",10-15,"Data Science, deep learning frameworks, Tensorflow, data management, Artificial Intelligence, PySpark, R Shiny, data quality",Familiarity with cloud technology such as AWS Azure and knowledge of AWS tools such as ...
5,Manager/Senior Manager - Data Science,Axtria India,"Noida, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",8-12,"Data Science, Data Quality, NLP, Data Pipeline, Artificial Intelligence, Data Management, Data Modeling, Machine Learning","Ability to build scalable models using Python, R-Studio, R Shiny, PySpark, Keras, Tenso..."
6,Staff Data Scientist,Blue Yonder,"Hyderabad/Secunderabad, Bangalore/Bengaluru",10-12,"Supply chain, Automation, GIT, NoSQL, data science, RDBMS, Architectural design, Supply chain solutions",Bachelor s degree (STEM preferred) and minimum 10+ years of experience in Software deve...
7,Data Scientist,KAS Services India,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-5,"Supply chain, Business services, data science, SAS, Data management, SPSS, Customer engagement, MATLAB",. Desired qualification and work experience
8,Senior Data Scientist,Stats Systems India,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-7,"deep learning, Computer vision, Product engineering, data science, Artificial Intelligence, Machine learning, Manager Technology, Statistics","Experience in projects involving large scale multi-dimensional datastore, complex busin..."
9,Junior Data Scientist,Analytos,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",0-2,"Text mining, deep learning, NoSQL, RF, data science, Data research, Data modeling, Manager Technology",Experience : 0 to 2 years. Experience / Strong Knowledge of Regression/ Linear Analysis...
10,Data Scientist (CPG),Tredence,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",2-4,"Data analysis, Neural networks, Analytical, Machine learning, Data structures, Predictive modeling, data visualization, Troubleshooting","Experience . Bachelors or Masters degree in a quantitative field (CS, machine learning,..."
11,Data Scientist - Consultant (Retail),Tredence,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",2-4,"Data analysis, Data management, Analytical, Machine learning, Data structures, Predictive modeling, Troubleshooting, Data mining",". Bachelors or Masters degree in a quantitative field (CS, machine learning, mathematic..."
12,Data Scientist - Consultant (Retail),Tredence,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",2-4,"Data analysis, Neural networks, Machine learning, Data structures, Predictive modeling, data visualization, Troubleshooting, SQL","Bachelors or Masters degree in a quantitative field (CS, machine learning, mathematics,..."
13,Data Scientist,Blackstraw Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-5,"deep learning, C++, Operations research, Machine learning, Natural language processing, data visualization, Econometrics, Forecasting",". Bachelors in Math, Computer Science, Information Systems, Machine Learning, Statistic..."
14,Lead Data Scientist,Propmix,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-10,"NoSQL, data science, Analytical, Machine learning, Cloud, Data mining, Predictive analytics, SQL","5+ years of working experience as a Data Scientist, utilizing Python and machine learni..."
